"RegionID","State","SizeRank","X1996.04","X1996.05","X1996.06","X1996.07","X1996.08","X1996.09","X1996.10","X1996.11","X1996.12","X1997.01","X1997.02","X1997.03","X1997.04","X1997.05","X1997.06","X1997.07","X1997.08","X1997.09","X1997.10","X1997.11","X1997.12","X1998.01","X1998.02","X1998.03","X1998.04","X1998.05","X1998.06","X1998.07","X1998.08","X1998.09","X1998.10","X1998.11","X1998.12","X1999.01","X1999.02","X1999.03","X1999.04","X1999.05","X1999.06","X1999.07","X1999.08","X1999.09","X1999.10","X1999.11","X1999.12","X2000.01","X2000.02","X2000.03","X2000.04","X2000.05","X2000.06","X2000.07","X2000.08","X2000.09","X2000.10","X2000.11","X2000.12","X2001.01","X2001.02","X2001.03","X2001.04","X2001.05","X2001.06","X2001.07","X2001.08","X2001.09","X2001.10","X2001.11","X2001.12","X2002.01","X2002.02","X2002.03","X2002.04","X2002.05","X2002.06","X2002.07","X2002.08","X2002.09","X2002.10","X2002.11","X2002.12","X2003.01","X2003.02","X2003.03","X2003.04","X2003.05","X2003.06","X2003.07","X2003.08","X2003.09","X2003.10","X2003.11","X2003.12","X2004.01","X2004.02","X2004.03","X2004.04","X2004.05","X2004.06","X2004.07","X2004.08","X2004.09","X2004.10","X2004.11","X2004.12","X2005.01","X2005.02","X2005.03","X2005.04","X2005.05","X2005.06","X2005.07","X2005.08","X2005.09","X2005.10","X2005.11","X2005.12","X2006.01","X2006.02","X2006.03","X2006.04","X2006.05","X2006.06","X2006.07","X2006.08","X2006.09","X2006.10","X2006.11","X2006.12","X2007.01","X2007.02","X2007.03","X2007.04","X2007.05","X2007.06","X2007.07","X2007.08","X2007.09","X2007.10","X2007.11","X2007.12","X2008.01","X2008.02","X2008.03","X2008.04","X2008.05","X2008.06","X2008.07","X2008.08","X2008.09","X2008.10","X2008.11","X2008.12","X2009.01","X2009.02","X2009.03","X2009.04","X2009.05","X2009.06","X2009.07","X2009.08","X2009.09","X2009.10","X2009.11","X2009.12","X2010.01","X2010.02","X2010.03","X2010.04","X2010.05","X2010.06","X2010.07","X2010.08","X2010.09","X2010.10","X2010.11","X2010.12","X2011.01","X2011.02","X2011.03","X2011.04","X2011.05","X2011.06","X2011.07","X2011.08","X2011.09","X2011.10","X2011.11","X2011.12","X2012.01","X2012.02","X2012.03","X2012.04","X2012.05","X2012.06","X2012.07","X2012.08","X2012.09","X2012.10","X2012.11","X2012.12","X2013.01","X2013.02","X2013.03","X2013.04","X2013.05","X2013.06","X2013.07","X2013.08","X2013.09","X2013.10","X2013.11","X2013.12","X2014.01","X2014.02","X2014.03","X2014.04","X2014.05","X2014.06","X2014.07","X2014.08","X2014.09","X2014.10","X2014.11","X2014.12","X2015.01","X2015.02","X2015.03","X2015.04","X2015.05","X2015.06","X2015.07","X2015.08","X2015.09","X2015.10","X2015.11","X2015.12","X2016.01","X2016.02","X2016.03","X2016.04","location"
9,"California",1,158700,158600,158300,158100,157800,157600,157500,157800,158000,158500,159200,159900,160000,160200,160500,161000,161300,161900,162700,163900,165300,166800,168700,168800,168800,170400,172800,174100,175400,176500,177900,179200,180400,181400,182500,184200,185800,187200,188500,190200,192100,194000,196000,198000,200500,203200,206000,209000,211800,214400,217000,219400,221800,224100,226600,229100,231600,234400,237400,240100,242600,244800,246700,248900,251200,253500,255400,257500,260000,262900,265600,268700,271800,275500,279300,283400,287800,292500,296900,301500,305900,310400,314600,319000,323400,327300,330900,335100,339800,345100,351100,357300,363800,370600,377800,385600,394400,403800,413600,423300,432200,439800,446500,452800,458700,464300,470000,476000,482200,488400,494700,501500,508100,514200,519600,524600,528200,530100,531600,533200,534000,533900,533500,532300,530100,527500,525000,522200,519100,516400,514500,512300,509500,506100,501800,496800,491700,486400,481000,475100,467900,459700,450100,439700,429300,419700,410300,401100,392300,383900,375900,368300,362500,359500,356800,353000,349000,345600,342700,340400,338900,338200,337800,337800,338000,337900,337900,337900,337900,337600,336800,335300,333600,331900,330100,328500,326800,324500,322100,319800,317200,314400,312100,310300,308800,307600,306900,306600,306600,306600,306900,308000,309300,310900,312800,315500,318300,321000,323800,327000,330700,334800,339700,345800,352500,359400,366800,374500,381400,387500,393200,398300,402500,405800,408000,410700,414700,418400,420500,421700,422900,424000,425400,426900,428200,429500,431900,434500,436600,438300,440200,442600,445200,447600,449900,452400,455400,458000,460200,462200,463600,"California"
54,"Texas",2,,,,,,,,,,,81200,81600,82000,82400,82900,83400,84000,84600,84800,84500,84400,84600,85000,85400,85700,86100,86400,86800,87000,87200,87600,87700,87700,88300,88900,89500,90200,91100,91800,92400,93000,93500,93800,94100,94200,94400,94400,94500,94900,95300,95500,95700,96000,96500,97000,97200,97300,97400,97700,97800,98100,98300,98500,98800,99200,99500,99900,100200,100300,100700,101100,101500,101600,101900,102300,102800,103200,103800,104400,104900,105100,105300,105600,106100,106400,106500,106800,107300,107900,107900,107700,107700,108400,109400,110800,112100,113400,114500,115500,116200,116900,117700,118200,118500,119000,119600,120200,120600,121000,121500,121900,122000,122200,122700,123300,123800,123900,124200,125000,125800,126300,126800,127400,128000,128200,128400,129100,129800,130400,130900,131200,131300,131700,132100,132600,132900,133300,133500,133800,134200,134100,133000,131600,130400,129300,128100,127100,126600,126700,127200,127700,128300,129000,129700,130500,131200,131800,132200,132600,133000,133200,133200,133000,132800,132600,132500,132600,132900,132900,132900,132900,132700,132200,131700,131100,130700,130300,130300,129000,127400,127400,128500,128900,129200,129800,130000,129800,129200,129200,129300,130000,130700,131000,130800,131100,131500,131400,131200,131300,131600,131900,132000,132600,133600,134600,135700,136400,136700,136900,137800,138500,138800,138900,139100,139700,139700,138400,137000,136600,136600,136800,137300,138200,139300,140300,141200,142400,143700,145100,146500,147600,148700,149700,150300,150700,151300,151900,152600,153500,154600,155400,"Texas"
43,"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332400,331700,331200,330600,328900,326800,325300,324100,322500,320200,317600,315500,313500,311700,309800,309200,300200,286100,278500,278500,276800,275400,274200,272900,271900,271000,270400,270100,269700,269000,268500,267700,267000,266300,265500,264500,263500,262400,261100,260000,259400,258700,257800,256700,255300,254000,253100,252100,251100,250100,249300,248400,247600,246900,246300,245300,244700,244400,244200,244000,244200,244500,244700,244700,244900,245000,244700,244500,244900,245700,246500,247500,248400,249400,250500,251500,252500,254100,255100,256400,258000,258900,259100,259700,259900,259900,260200,260800,261800,262800,263800,264400,264300,263800,263600,263500,263500,263200,262400,261700,261500,261400,261600,262100,262600,"New York"
14,"Florida",4,87000,87300,87500,87400,87400,87400,87300,87500,87600,87900,88300,88800,88800,88800,89100,89400,89500,89800,90100,90400,90700,91300,92000,92400,92600,92800,93100,93200,93500,93600,93800,94200,94800,95400,96000,96600,97000,97200,97600,98000,98600,99300,99900,100400,101000,101900,102700,103200,103900,104700,105400,106000,106800,107500,108400,109200,110000,110900,111700,112300,113200,114300,115200,116200,117100,118000,118900,120000,121000,122000,123000,124300,125500,126500,127500,128700,129600,130600,131900,133200,134400,135800,137200,138400,139700,141000,142200,143700,145100,146500,148000,149800,151500,153200,155100,157200,159400,161900,164600,167500,170800,174300,177600,180900,184400,188000,191900,196400,201400,206900,212700,218400,224200,229700,234900,239700,243800,247000,250000,252800,255000,256400,256800,256900,256700,255800,254400,253000,251200,249200,247100,244900,242400,239800,237100,234300,231200,228100,225000,222000,218600,214800,210700,206400,202000,197800,193900,189900,185900,182200,178200,173900,170700,169100,167500,164900,162100,159300,157000,154900,153000,151500,150500,149600,148500,147400,146200,144900,143800,143100,142100,140900,139700,138400,137100,136100,134800,133300,132300,131600,130600,129500,128600,127700,127000,126500,126200,126100,126100,126200,126500,127100,127900,128600,129300,130100,131100,132100,133000,133800,134700,135700,136800,138100,139400,140700,142200,144000,145700,147400,149400,151600,153400,154800,155700,157200,159300,161100,162200,163500,164600,165400,165900,166600,167500,168300,169400,170500,171600,172900,174300,175700,177300,178600,179700,181100,182500,183900,185100,186300,187200,"Florida"
21,"Illinois",5,113900,114300,114300,113600,112800,112400,112500,112600,113300,114300,114900,114800,114700,114700,114900,115300,115600,115900,116300,116700,117000,117300,117600,117800,117900,118200,118600,118900,119300,119800,120400,120800,121100,121400,122100,122800,123200,123800,124400,125100,125600,126200,127100,128000,128600,129200,130000,130800,131500,132100,132900,133600,134000,134500,135300,136100,137100,138100,138900,139600,140400,141300,142100,143200,144300,145400,146500,147400,148200,148900,149700,150500,151500,152100,152800,153600,154000,154600,155700,156700,157500,158100,159100,160600,161900,163200,164700,165900,166700,167200,167800,168500,169300,170300,171300,172100,173000,173700,174100,175600,177900,179400,179300,179700,180900,182200,183500,184600,185800,187000,188100,189000,189700,190500,192000,193500,194300,195300,196200,196700,197400,198100,198700,198900,200200,201500,201700,201300,201600,201800,202000,202200,202100,202100,202100,201600,200700,200100,199900,199700,199100,198600,197800,196600,195700,194700,193600,192600,191600,190600,189600,188300,186900,185300,183700,182300,181100,179700,178400,177200,175900,174800,174300,173900,173200,172400,171700,170600,169500,168500,167500,166300,164900,163400,161800,160300,159000,157900,156800,155800,154600,153100,151400,150000,148700,147400,146100,145200,144300,143400,142600,142000,141700,141500,141500,141400,141200,140900,140600,140600,140700,140800,141100,141500,141800,142500,143700,145400,146700,147700,149000,150400,151500,152400,153200,153900,154500,154900,154700,154600,154900,155400,155700,155500,155000,154600,154600,154700,154700,155000,155600,156200,156600,156900,157200,157700,158400,159000,159200,159700,160300,"Illinois"
47,"Pennsylvania",6,84200,84500,84700,84500,84600,84900,84800,84500,84600,84800,84900,85100,85200,85000,85000,85200,85200,85300,85400,85700,85900,86200,86500,86900,87300,87400,87500,87700,87900,87800,88200,88700,89100,89400,89800,90200,90400,90300,90400,90600,90700,90800,91000,91300,91500,91700,92200,92600,92900,93200,93600,94100,94300,94500,94800,95200,95500,95700,96100,96500,97300,98100,98400,98700,99300,99900,100300,100800,101400,102100,102700,103200,103600,104100,104700,105500,106100,106900,107500,108300,109100,109900,110800,111600,112300,113100,114000,114800,115700,116800,117900,118800,119800,120800,121600,122200,123000,123700,124700,125700,126700,127500,128600,129500,130300,131300,132500,133700,134800,136100,137300,138500,139800,141000,142000,143100,144300,145100,145600,146200,147100,147900,148500,149300,150100,150600,151100,151700,152000,151900,152100,152600,153200,153700,154000,154200,154500,154700,154700,154500,154200,153900,153600,153400,153200,153000,153000,153000,152900,152800,152600,152200,152600,153700,154600,154900,155100,155000,154500,154200,154100,154000,153900,154200,154200,153900,153500,153300,153200,153000,152700,152000,151500,151100,150600,149900,149200,148700,148100,147600,147100,146700,146300,146000,145600,145200,145000,144900,144500,144000,143900,143900,143800,143800,143900,143800,143500,143300,143200,143200,143100,142900,143100,143400,143500,143700,144400,145000,145500,146000,146700,147500,148600,149700,150400,150500,150500,150400,150400,150400,150500,150600,150600,150300,150100,149800,149800,149800,150000,150300,150400,150700,151300,151700,151900,152200,152600,152800,152900,153200,153600,"Pennsylvania"
44,"Ohio",7,88600,88800,88900,89100,89200,89400,89600,89700,89800,90200,90500,90800,91100,91300,91600,92000,92200,92500,93100,93400,93700,94100,94400,94800,95100,95300,95500,95700,96100,96500,96800,97000,97400,97900,98500,99000,99400,99900,100300,100700,101200,101500,101700,102200,102600,102900,103300,103800,104300,105000,105500,105900,106400,106700,106900,107200,107600,108000,108400,108600,108700,109100,109600,109900,110100,110400,110700,110900,111300,111700,112100,112300,112600,112800,113000,113400,113700,113900,114400,114800,115000,115400,115700,116000,116400,116900,117300,117800,118200,118600,119100,119700,120100,120200,120400,120800,121100,121300,121500,121700,122000,122400,122700,123000,123300,123700,124100,124300,124500,124800,125100,125200,125200,125300,125400,125700,125900,126000,126000,126100,126200,126200,126000,125800,125600,125600,125500,125200,125000,124900,124800,124700,124700,124400,124100,123800,123500,123000,122400,122000,121600,121100,120300,119600,119000,118500,118000,117500,117100,116700,116300,115700,115300,115200,115300,115100,114800,114600,114400,114300,114000,114000,114100,114100,114000,113900,113700,113500,113300,113000,112700,112700,112400,112000,111400,110900,110400,109700,109000,108400,108000,107700,107300,106900,106500,106200,106100,106000,105800,105600,105400,105400,105600,105800,106100,106200,106200,106200,106400,106400,106300,106300,106500,106700,106900,107100,107700,108500,109000,109400,109900,110600,111200,111900,112800,113300,113600,113800,113900,114000,114400,114800,115000,115200,115500,115700,115900,116400,116900,117200,117300,117400,117600,117900,118200,118700,119300,119600,119800,120000,120000,"Ohio"
30,"Michigan",8,89600,88800,88800,89600,89100,88300,88000,88400,88500,88400,88400,88700,89300,90200,90800,91200,91500,91900,92400,93000,94000,94900,95100,94900,95400,96200,96700,97100,97700,98600,99400,99900,100400,101400,102600,103700,104900,105900,106900,107800,108900,109600,110300,110900,111600,112400,113400,114200,114900,115500,116200,116700,117100,117500,118000,118500,119400,120200,121100,121600,122100,122800,123400,124100,124800,125400,125700,126000,126200,126400,126600,126900,127200,127400,127700,128100,128800,129600,130600,131300,131600,131900,132300,132800,133200,133600,133900,134100,134500,134900,135200,135500,135800,136200,136600,136800,136900,137200,137600,138000,138300,138700,139000,139300,139600,139900,140100,140500,141000,141300,141400,141500,141700,141700,141800,141900,142000,141700,141300,141100,140700,140300,140000,139700,139200,138600,138100,138000,137600,136800,136100,135600,134900,134200,133300,132500,131800,131000,130100,129100,127900,126500,124700,123100,121500,120000,118400,117000,115500,114000,112500,110600,109500,109600,109700,109000,108100,107300,106700,105800,104800,104200,103900,103400,102800,102300,102000,101800,101700,101700,101500,101100,100800,100300,99800,99300,98600,97600,96900,96500,96000,95400,94800,94300,94000,93700,93500,93600,93900,94000,93900,94100,94900,96000,97100,97900,98700,99600,100400,101100,101800,102900,104200,105400,106500,107700,109000,110200,111400,112500,113500,114600,115800,116500,117300,117500,116700,115500,115300,115500,115800,116200,116500,117000,117300,117200,117200,117500,118200,118800,119100,119800,120300,120600,120800,121200,121600,122200,122500,122700,123000,"Michigan"
16,"Georgia",9,92900,93300,93500,93600,93600,93800,94200,94600,94800,95000,95300,95600,95800,96100,96600,97300,97900,98300,98800,99300,99700,100300,101000,101700,102100,102500,103100,103900,104500,105200,106000,106500,107000,107900,108500,108900,109500,110200,111000,111900,112400,113000,113700,114300,115000,116000,117100,117900,118500,119000,119700,120300,121100,121800,122600,123100,123600,124000,124700,125400,126100,126800,127400,127700,127800,128200,128600,129000,129600,130100,130500,131000,131400,131900,132200,132500,133100,133500,133600,134100,134500,134500,134800,135300,135700,136200,136400,136700,137100,137500,137700,138200,139000,139500,139800,140200,140500,140700,140900,141400,141800,142400,143100,143500,143900,144700,145400,145800,146400,147000,147600,148200,149000,149600,150300,151100,151600,151900,152500,152900,153300,153800,154500,155000,155400,155700,156100,156300,156200,155700,155500,155300,155500,155800,155900,155800,155700,155400,154900,154600,154200,153600,152800,152000,151100,150000,149000,148100,146900,145600,144300,142600,141600,141700,141900,141400,140700,139800,139100,138500,137800,137200,136700,136400,135900,135100,134400,133600,133000,132500,131700,130900,129800,128600,127600,126900,126000,124700,123700,122800,121700,120400,119300,118200,117300,116600,115900,115500,115200,114700,114200,113900,113800,113700,113500,113500,113600,113800,113900,113900,114100,114800,115300,115600,116200,117100,118300,119600,120900,122200,123600,124900,125900,126800,127600,128600,129800,131100,132100,133000,133800,134700,135500,136000,136200,136400,136800,137600,138100,138500,138900,139600,140300,140900,141600,142600,143400,144100,144800,145400,145900,"Georgia"
36,"North Carolina",10,92400,92700,92900,93200,93600,93900,94100,94400,94700,95100,95700,96100,96500,97200,97800,98200,98700,99400,100000,100400,100900,101500,102200,103000,103500,104000,104700,105500,106000,106400,107000,107700,108300,108600,108900,109400,110000,110400,111100,111600,111900,112300,112500,112600,113000,113600,114100,114500,114900,115300,115700,115800,116000,116500,117200,117500,117800,118300,118900,119000,119000,119200,119300,119300,119500,119700,119900,120100,120200,120400,120700,121000,121300,121400,121600,122000,122400,122500,122500,123000,123600,123800,123800,124000,124500,125000,125100,125200,125400,125800,126000,126400,126700,127100,127500,127900,128200,128400,128900,129500,130000,130500,131100,131600,132000,132500,133100,133700,134200,134700,135300,136100,136900,137400,138100,139000,139900,140500,140900,141300,142000,142700,143300,143800,144300,144900,145400,146000,146500,147000,147400,147800,148400,148800,149100,149400,150000,150400,150600,150400,150300,150100,150000,149900,150000,150000,150100,150000,149700,149500,149000,148500,148300,148700,148900,148800,148600,148400,148200,147800,147400,147000,146800,146600,146400,146000,145700,145500,145100,144600,144200,143700,143100,142500,142100,141600,141000,140300,139800,139300,138800,138400,138100,137900,137500,137200,137100,137000,136900,137000,137200,137200,137100,137100,137100,137200,137500,137700,137800,137900,138000,138100,138400,138400,138300,138600,139100,139600,140000,140400,141000,141800,142400,142900,143100,143200,143600,143800,144000,144000,144100,144100,144200,144300,144300,144100,144300,144900,145400,145800,146100,146600,147100,147700,148000,148400,148800,149200,149400,150200,151100,"North Carolina"
40,"New Jersey",11,142700,142400,142200,142000,141700,141500,141300,141200,141000,141200,141600,142000,142100,142100,142300,142400,142200,142300,142700,143100,143500,144400,145500,146400,147100,147500,147600,147700,147900,148200,148700,149300,150000,151000,152200,153300,154200,155000,155800,157100,158400,159600,160500,161500,162800,164200,165400,166600,167900,169300,170700,172200,173600,175100,176500,178100,179800,181500,183000,184400,186100,188100,190000,191500,193500,195900,198300,200200,202400,204500,206800,209500,212400,215300,218300,221700,225300,228600,231900,235200,238500,241700,244900,248000,250700,253500,256600,259800,262900,265700,268500,271500,274500,277400,280100,283000,286100,289600,293300,297100,301100,305000,309000,312900,316800,320500,324100,328000,332000,336100,340100,344100,347600,350700,354100,357700,360500,362600,364500,366500,368400,369900,370700,370800,370500,369900,369100,367900,366500,365400,364500,363800,363200,362300,361000,359400,357600,355600,353800,352300,350700,348900,347100,345000,342400,339600,336700,333900,331300,328700,326100,322900,320400,319300,318300,316300,314000,311700,309600,307800,306600,305900,305400,304800,304100,303300,302500,301700,300700,299900,299200,298100,296600,294900,293100,291600,290300,288700,286700,284600,282700,280700,278800,277000,275400,273700,271900,270200,268500,267000,265700,264600,263700,263100,262900,262800,263000,263300,263200,263000,263100,263200,263400,263900,264300,264700,265400,266500,267500,268500,270300,272300,273900,275400,276500,278100,280300,282700,284500,285800,286400,286800,287000,286900,286400,285500,285100,285300,285000,284200,283700,283700,284200,284900,285700,286500,287300,288000,288700,289100,289200,"New Jersey"
56,"Virginia",12,113500,114100,114500,114700,114700,114600,114600,114800,114800,114900,115300,115500,115400,115200,115200,115100,115200,115400,115800,116200,116400,116800,117400,117800,118000,118200,118300,118300,118400,118900,119300,119700,120100,120700,121300,121800,122200,122700,123300,123800,124200,124500,125000,125500,126100,126800,127700,128500,129000,129500,130100,130700,131400,132200,132700,133300,134100,135200,136100,137100,138300,139300,140200,141300,142400,143200,143900,144800,146000,147000,148000,149100,150300,151500,152600,153900,155200,156500,157700,159000,160500,161900,163400,164900,166200,167500,169000,170700,172500,174300,176200,178300,180400,182800,185200,187500,190100,193000,196400,199800,203400,207500,211800,215700,219400,223100,227000,230900,234800,238600,242400,246200,249900,253100,256000,258900,260900,261900,262800,264000,265200,266000,266600,267000,267100,266900,266500,266300,266000,266000,266200,266200,266000,265700,265100,263900,262500,261200,259900,258400,256900,255100,253100,250800,248600,246300,243900,241600,239500,237400,235400,233300,231800,230900,230100,229000,227900,227000,226100,225200,224500,223800,223100,222700,222500,221900,221200,220600,220100,219800,219300,218500,217800,217200,216600,215800,215000,214200,213300,212600,211900,210900,210100,209600,209200,208900,208700,208600,208500,208500,208600,208500,208400,208500,208800,209100,209400,209500,209400,209600,209600,209700,210000,210800,211800,212900,214400,216100,217800,219400,221000,222500,224100,226000,227500,228100,228600,228900,229100,229300,229300,229400,229700,229800,229400,229100,229600,230300,230700,230900,231000,230900,231000,231300,231600,232000,232500,232800,233000,233400,233800,"Virginia"
59,"Washington",13,135200,135700,135900,135900,136000,136200,136700,137000,137500,138200,138900,139600,140100,140800,141600,142400,143200,143900,144500,145300,146200,147100,148000,148500,149000,149600,150300,151200,152300,153000,153200,153700,154600,155600,156500,157000,157400,158000,158700,159200,159600,160400,161400,162400,163300,164100,164900,166000,167000,167600,168100,168700,169500,170100,170400,170700,171100,171700,172500,173300,174100,174700,175200,175800,176300,176800,177600,178400,179000,179600,180600,181400,181800,182200,182800,183300,183800,184600,185500,186500,187700,188900,189700,190600,191600,192500,193400,194200,195200,196400,197600,198800,200200,201600,203000,204800,206600,208700,211100,213600,215900,218200,220600,223000,225500,228100,231000,234000,237600,241300,245000,248900,252900,256900,260900,264700,268300,271400,274300,277100,280200,283200,286100,288900,291300,293300,295200,297200,298600,299800,301200,302200,302600,302800,303000,302900,302500,301800,300500,298900,297200,295300,293400,291500,289700,287800,285400,283200,281500,279700,277200,274200,272000,270800,269500,267600,265300,263100,261100,259400,257800,256500,255700,255200,254600,253600,252500,251300,250200,248900,247100,245100,242900,240800,238900,237200,235700,234000,232100,230100,228000,226000,224100,222500,221100,220200,219500,218900,218200,217800,217800,218200,218900,219800,220700,221400,222100,222700,223700,224900,226000,227000,228100,229300,230900,233000,235900,238900,241700,244000,245700,247100,248700,250400,251700,253000,254600,255900,256700,257400,258200,258800,259600,260700,261800,263000,264800,267200,269300,272100,274700,276600,278400,280700,282800,285100,287400,289300,291300,293900,296500,"Washington"
26,"Massachusetts",14,140500,140800,141000,141100,141300,141500,141700,142000,142600,143400,144300,145000,145400,145900,146500,147200,147700,148200,148900,149900,151100,152500,153900,155100,156200,157200,158300,159400,160800,161900,163000,163900,165000,166200,167800,169400,171100,172900,174700,176500,178300,180200,182200,184400,186400,188600,190900,193200,195600,198600,201800,204800,207600,210500,213400,216400,219200,222100,225100,228100,231000,233900,236700,239600,242700,245800,248600,251400,253800,256000,258500,261200,263800,266300,269100,272300,275600,279000,282100,285300,288900,292400,295200,297700,300100,302000,304000,306200,308300,310200,312300,314500,316500,318600,321100,323700,326600,329700,332400,335000,337600,340100,342500,344800,347000,349200,351600,353900,355800,357200,358000,358500,358800,359000,359000,358800,358100,357100,356100,355200,354100,352800,351000,348900,346500,344300,342300,340700,339200,338000,337500,337200,336500,335200,333700,332200,330600,329100,327700,326300,324700,323000,320600,317500,314600,312300,310300,308700,307300,305800,304200,302400,300800,299600,298500,297200,296400,296200,296700,297300,297600,298300,298900,299400,299600,299800,299800,299600,299000,298400,297800,297100,296500,295700,294800,294100,293400,292400,291600,290900,290000,289000,288200,287500,286900,286400,285800,285300,285400,285500,285400,285600,286300,286900,287700,288600,289000,289200,289800,290700,291600,292400,293500,295200,297400,299700,302300,305400,308600,311100,313000,315200,317700,319700,320500,321100,322400,323600,324200,324000,323500,323000,323000,323100,323000,323400,325800,328600,330300,331200,331600,332200,333800,336100,337800,339200,340400,341900,343600,344600,344700,"Massachusetts"
22,"Indiana",15,72100,74200,75200,75400,75200,75200,75400,75600,75700,76300,77500,78500,78500,78400,78700,79300,80000,80800,81500,82300,83000,83400,83500,83600,83600,83700,83900,84200,84500,84800,85100,85500,85600,85300,85500,85900,86100,86400,86800,87300,87400,87400,87600,88000,88000,87900,88400,88900,89100,89400,89800,90000,90300,90600,90800,90900,92600,95700,97700,98500,99400,100000,100500,100900,101500,101900,102000,102100,102200,102200,102200,102300,102200,101900,101800,101900,102000,102000,101800,101700,101400,101400,101500,101500,101600,102000,102200,102400,103000,103800,104900,105800,106600,107200,107800,108500,109100,109700,110600,111600,112800,113900,114700,115200,115500,116000,116600,116900,117400,118000,118800,119500,119700,119600,119400,119500,119400,118900,118100,117800,117600,117300,117200,116900,116600,116700,117200,117800,117800,117100,116700,117000,117400,117400,117200,117100,117200,117000,116700,116700,116800,117300,117600,117800,118000,118100,118100,117900,117300,116700,116000,115400,114800,114300,113900,113400,112700,112100,111500,111000,110800,110900,110900,110800,110600,110300,110100,110000,109900,109700,109300,109000,108800,108900,108800,108600,108500,108400,108000,107400,107100,106900,106700,106300,105900,105500,105300,105100,105100,105200,105000,104800,104900,105100,105500,106000,106400,106800,107000,107000,107200,107900,109000,110200,111600,112900,114100,114900,115500,115600,115200,115000,115100,115600,116300,116000,114100,112200,111400,111000,110800,110800,111100,111500,111600,111600,111700,111900,112500,113300,113800,114300,114800,114900,114900,115200,115500,115500,115400,115700,116000,"Indiana"
8,"Arizona",16,103300,103600,103800,104100,104400,104700,104900,105100,105400,106000,106600,106900,107000,107200,107500,107800,108100,108600,109000,109200,109600,110300,111000,111400,111600,112100,112900,113700,114100,114300,114700,115300,115900,116400,116800,117400,118200,118800,119100,119300,119700,120200,120700,121400,122400,123200,124200,125100,125800,126500,126900,127400,128100,128800,129300,129700,130100,130800,131400,132000,132400,132600,132800,133100,133300,133500,134000,134800,135500,136100,136700,137400,138200,139000,139600,140200,140900,141500,142300,143100,143800,144700,145800,146600,147300,148100,149000,149800,150600,151300,152100,153100,154400,155500,156600,158000,159400,160700,162600,164800,167700,171300,175300,179400,183700,188200,193000,198600,205500,213300,221600,230000,237600,244100,249700,254600,258100,260500,262500,263800,264300,264400,264100,263400,262300,261000,259400,257800,256000,254000,252000,250300,248700,247000,245000,243000,241400,240000,238200,236100,233300,229800,225800,221800,218000,214500,211000,207400,203800,200300,196600,192600,190000,189000,187700,185000,182200,179300,176400,173800,171700,169700,167900,166200,164800,163600,162300,160800,159100,157400,155400,153100,150600,148000,145900,144100,142600,141600,141600,141900,141500,140500,139600,138700,137900,137700,138200,139200,140300,141400,142700,144200,145800,147700,149700,152000,154400,157100,159600,161300,162300,163400,164600,166400,168800,171600,174600,177400,180100,181300,181900,182800,184000,184100,183900,184100,185000,185600,185900,186200,186600,187100,187800,188800,189700,190200,190800,191500,191900,192600,193700,194800,196200,198300,200300,202300,203900,204900,205500,206300,207000,"Arizona"
53,"Tennessee",17,71900,72300,72600,72900,73100,73400,73400,73600,73800,74100,74500,74800,75000,75200,75500,75800,76100,76400,76800,77400,77900,78600,79100,79500,79900,80400,80900,81300,81700,82200,82800,83100,83200,83500,84000,84300,84400,84600,84800,85000,85100,85400,85600,85700,85900,86300,86600,87100,87300,87600,87800,88100,88200,88400,88500,88700,89000,89300,89500,89800,90100,90300,90400,90600,90700,90700,91000,91200,91400,91600,91900,92100,92400,92600,92700,93000,93300,93500,93600,94000,94500,94600,94900,95300,95700,96000,96300,96600,97100,97500,97900,98100,98500,98900,99200,99500,99700,100100,100600,101000,101500,102000,102600,103100,103400,103800,104300,104800,105500,106400,107100,107900,108700,109400,110200,111100,111900,112600,113000,113600,114200,114800,115400,115900,116500,117200,117900,118400,118800,119200,119500,119900,120200,120500,120600,120800,121100,121100,121200,121200,120900,120700,120500,120100,119900,120000,119900,119800,119600,119200,118700,118200,118400,119500,120500,120800,120800,120800,120700,120700,120700,120600,120500,120500,120200,119900,119700,119500,119300,119100,118900,118500,118100,117800,117500,117200,117000,116600,116100,115900,115500,115100,114900,114500,114200,114200,114200,114000,114000,114000,113800,113700,113700,113800,113800,113800,113800,113800,114000,114500,114700,114600,114500,114700,114900,115100,115500,116100,116700,117300,117900,118500,119000,119400,119800,120400,121500,122500,123200,123700,124200,124400,124800,125100,125200,125300,125600,126000,126300,126700,127200,127600,128200,128800,129500,130000,130500,131100,131500,131900,132100,"Tennessee"
